"brand","quantity"
"Ferrero Rocher","5909326"
"SunChips","5860538"
"L .","5857192"
"Fisher-Price","5850921"
"hint","5840625"
"Smartfood","5801540"
"Lactaid","5799698"
"Chips Ahoy!","5774415"
"Sour Punch","5769724"
"Tums","5743716"
"Sonia Kashuk","5738805"
"Swiss Miss","5722408"
"Allstate","5709322"
"Advil","5684887"
"Minecraft","5673076"
"Wet n Wild","5655233"
"Cadbury","5640445"
"Beloved","5609719"
"GT's","5598959"
"Pure Life","5597910"
"Air Wick","5559035"
"Roblox","5526677"
"Pirate's Booty","5485603"
"A&W","5476752"
"Ben's Original","5472424"
"Spindrift","5469760"
"Dave's Killer Bread","5456730"
"Sun-Maid","5454634"
"Sabra","5437901"
"Jockey Generation","5428646"
"Threshold Signature","5411064"
"Scholastic","5391166"
"Idahoan","5375138"
"Skippy","5374739"
"SToK","5371880"
"Bounce","5371405"
"Morningstar Farms","5363900"
"Ticonderoga","5355435"
"P.F. Chang's","5349734"
"OIKOS","5340111"
"Chapstick","5296220"
"Waterloo Sparkling Water","5281411"
"Melissa & Doug","5280178"
"Tom's of Maine","5269760"
"Angie's","5231899"
"Jack Link's","5231631"
"Cinnamon Toast Crunch","5214767"
"Popcorners","5187949"
"La Roche Posay","5186782"
"Pacifica","5161605"
"LIGHT + FIT","5143840"
"Rachael Ray Nutrish","5133975"
"TWO GOOD","5132277"
"DANIMALS","5127743"
"B. toys","5116940"
"Dunkin' Donuts","5074186"
"OATLY!","5071242"
"Grin Studio Impulse","5062423"
"Summer's Eve","5057170"
"Fritos","5046426"
"Schick","5019823"
"MLB","5003795"
"All","4988171"
"Ello","4984256"
"Harper Collins","4967043"
"Kiss Nails","4960372"
"GOYA","4947886"
"Yoobi","4947041"
"Foster Farms","4945808.0161"
"Honest Kids","4934311"
"Dr. Bronner's","4917173"
"More than Magic","4913444"
"Pedialyte","4912582"
"Unison","4899378"
"Kool-Aid","4898225"
"Gold Bond","4887209"
"Original Use","4882006"
"Premier Protein","4879704"
"HP Inc.","4864446"
"essie","4841320"
"Windex","4840352"
"FlowFlex","4836249"
"Noosa","4835987"
"Haagen-Dazs","4804598"
"CLIF ZBAR","4781517"
"Penguin Publishing","4772968"
"Spider-Man","4763943"
"Chex","4687589"
"Sun Bum","4667508"
"Snapple","4656069"
"Batiste","4645736"
"Sony","4640855"
"Goody","4634027"
"NABISCO","4608424"
"AriZona","4602579"
"Special K","4575336"
"Jelly Belly","4539455.57"
"Atkins","4535256"
"Minted","4512935"
"BelVita","4503509"
"Fage","4498557"
"Frozen","4494499"
"So Delicious","4489614"
"Perfect Bar","4479571"
"Hot Pockets","4477763"
"Da Bomb Bath Fizzers","4477319"
"Bubble Yum","4474537"
"Ball","4473937"
"Rice-A-Roni","4470851"
"Kemps","4466145"
"Velveeta","4463225"
"Beneful","4451831"
"JoyLab","4440245"
"Hunt's","4439177"
"Airheads","4435079"
"Bolthouse Farms","4423075"
"Marie Callender's","4390040"
"Breyers Ice Cream","4378951"
"Ripple","4376741"
"Nestle","4375613"
"OLIPOP","4363475"
"Greenies","4343499"
"MadeGood","4340635"
"Function of Beauty","4329553"
"Finish","4311959"
"Rao's Homemade","4304404"
"Johnsonville","4293111"
"Fiskars","4290341"
"V8 Juice","4289070"
"Pull-Ups","4276106"
"TheraBreath","4258261"
"Oui by Yoplait","4239988"
"Utz","4235998"
"Perfectly Cute","4221659"
"Oroweat","4219170"
"Tattooed Chef","4207513"
"Cantu","4207206"
"Hellmann's","4202517"
"Flamingo","4192612"
"Ardell","4169179"
"Franklin Sports","4162186"
"Poppi","4161170"
"Starbucks GC","4155207"
"NBA","4142538"
"Talenti","4140207"
"Dot's Homestyle Pretzels","4139356"
"Amazon","4129615"
"FAO Schwarz","4113911"
"Merch Traffic","4106260"
"Spice World","4098337"
"Angel Soft","4075283"
"5 Gum","4062452"
"PURE LEAF RTD","4054632"
"Frida Baby","4052779"
"Little Tikes","4031289"
"Love Beauty and Planet","4025794"
"Dreft","4022803"
"Ice Mountain","4019590"
"Keurig","4005538"
"Axe","3993705"
"BARK","3992714"
"MiO","3991996"
"Kettle Brand","3990876"
"Fujifilm","3975662"
"Rubbermaid","3975300"
"Altoids","3974202"
"Peet's Coffee","3966124"
"Maidenform","3962659"
"ACT","3957889"
"Tabitha Brown for Target","3955942"
"Diet Mtn Dew","3949841"
"Outshine","3947478"
"Lipton","3942280"
"Icee","3942277"
"Duke Cannon Supply Co.","3937877"
"Poise","3929718"
"Banana Boat","3929242"
"VTech","3927904"
"Zarbee's Naturals","3925604"
"Sour Strips","3898046"
"Grafix","3884980"
"Butterball","3882722.7336"
"Makeup Revolution","3873455"
"Siete","3872330"
"Larabar","3860509"
"Pearl Milling Company","3850838"
"Speedo","3849767"
"SodaStream","3842142"
"Pair of Thieves","3817102"
"Polar Beverages","3810645"
"thinkThin","3809119"
"Graco","3808342"
"Essentia","3801297"
"Planters","3764744"
"Keebler","3741624"
"Minute Rice","3694910"
"Benadryl","3694327"
"Opalhouse designed with Jungalow","3677041"
"Bissell","3674366"
"Olive & June","3659940"
"Nexxus","3640935"
"Igloo","3633355"
"Arrowhead","3618229"
"Mentos","3594440"
"Honey Maid","3581456"
"Andes","3567968"
"Jergens","3566777"
"hello","3565360"
"PlayStation","3559256"
"Kinetic Sand","3546740"
"Fresh Step","3546231"
"OH SNAP!","3543465"
"Meow Mix","3517988"
"Mike and Ike","3504607"
"Prego","3504365"
"Carefree","3503251"
"Pacific Foods","3500793"
"Reddi-wip","3498570"
"Twizzlers","3475239"
"DenTek","3473106"
"Panera Bread Soups","3470188"
"Vital Farms","3462841"
"Vitafusion","3461451"
"Make Believe Ideas","3461377"
"KitchenAid","3457795"
"Dash","3438010"
"Safety 1st","3429382"
"St. Ives","3419315"
"Rotel","3415709"
"Sweet Baby Ray's","3411106"
"bai","3408306"
"Avery","3404588"
"7up","3399608"
"Minnie Mouse","3399068"
"Orville Redenbacher's","3397559"
"California Roots","3389907"
"S SPORT BY SKECHERS","3387840"
"Buffalo Games","3381758"
"Avent","3379084"
"Sanpellegrino","3375891"
"Mielle Organics","3371486"
"Dr. Brown's","3365136"
"Wilton","3361518"
"Cocomelon","3358362"
"Wheat Thins","3347803"
"Lucky Charms","3344783"
"Triscuit","3294880"
"Halls","3290454"
"Thermos","3283642"
"GOLD PEAK","3274752"
"Shout","3274399"
"Hasbro","3262916"
"Tru Fru","3246569"
"G2 Gel","3244458"
"LINDOR","3229563"
"Garden Lites","3218159"
"Brita","3182958"
"Kerrygold","3181910"
"Stonefire","3180655"
"Banza","3174018"
"Health-Ade","3160101"
"Mattel","3142033"
"KeVita","3139268"
"Prairie Farms","3136907"
"Folgers","3136321"
"Hallmark","3132305"
"California Pizza Kitchen","3127462"
"Emergen-C","3127438"
"Milani","3122071"
"Chex Mix","3108452"
"OFF!","3105759"
"Johnson & Johnson","3096475"
"Chinet","3094023"
"Junior Mints","3092771"
"Bluey","3086755"
"Ragu","3085100"
"FIJI Water","3083503"
"Carnation","3080642"
"Frosted Flakes","3074637"
"Nursery Water","3061303"
"Vita Coco","3053315"
"Brownberry","3049922"
"Wrangler","3030034"
"O-Cedar","3028041"
"Con-Tact","3021886"
"Viva","3017492"
"Cap'n Crunch","3012980"
"Holler and Glow","3006250"
"Motrin","2996716"
"Blue Sky","2980602"
"Eucerin","2979021"
"King Arthur","2971263"
"Cuisinart","2961351"
"Jennie-O","2945214"
"BLACK+DECKER","2941493"
"Fruit Gushers","2932541"
"Mickey Mouse","2931042"
"ROCKSTAR","2930903"
"Palmer's","2920300"
"PEBBLES","2917972"
"Kellogg's","2914163"
"Comet","2913436"
"GoodCook","2893398"
"New York Bakery","2893363"
"Drano","2890247"
"Popsicle","2835026"
"Pop Secret","2832668"
"Orajel","2827221"
"LeapFrog","2826640"
"Froot Loops","2826494"
"Evol","2823900"
"Sunkist","2821175"
"Wet Brush","2820439"
"greenroom","2814350"
"Martinelli's","2808813"
"KONG","2808281"
"Lily's Sweets","2808114"
"Traditional Medicinals","2804155"
"Boogie","2797536"
"Liquid I.V.","2773735"
"Snack Factory","2771667"
"Playtex","2766843"
"Burt's Bees Baby","2756555"
"Bumble Bee","2745696"
"SpaghettiOs","2742756"
"Avatara","2742646"
"Knorr","2740672"
"Trolli","2738331"
"Dr. Scholl's","2736479"
"Vitamasques","2727440"
"Cool Whip","2725763"
"Almond Breeze","2714952"
"Torani","2707648"
"Kashi","2704195"
"Palmolive","2698841"
"Pledge","2690750"
"Nongshim","2690538"
"Libby's Pumpkin","2689375"
"Guerrero","2685889"
"Lip Smacker","2682573"
"Harvest Snaps","2681245"
"Nature's Path","2676540"
"Cat Chow","2675314"
"Honeywell","2672437"
"Cafe Bustelo","2670395"
"Microsoft","2662913"
"Justin's","2662450"
"SmartyKat","2657952"
"PopSockets","2650087"
"Cars","2646468"
"General Electric","2645870"
"Rainbow High","2643393"
"Devour","2640532"
"BANG","2628378"
"Pez","2621672"
"Monster Jam","2588559"
"Natrol","2583910"
"Honey Bunches of Oats","2577463"
"Coppertone","2574644"
"EZ Foil","2572558"
"Cape Cod","2572203"
"York","2567915"
"Ozarka","2560016"
"WaterWipes","2558704"
"Hamilton Beach","2548613"
"Philips Sonicare","2548225"
"Always Discreet","2547338"
"World's Best","2546894"
"PediaSure","2545528"
"Weiman","2542668"
"Chick-fil-A","2540500"
"Disney Doorables","2538083"
"Sugar Paper + Target","2535488"
"dluxe by dearfoams","2531892"
"Contigo","2528790"
"Macmillan Publishers","2528380"
"POWERADE","2516607"
"Just Wireless","2512655"
"JAPONESQUE","2511246"
"Fabuloso","2510242"
"Hachette Book Group","2508771"
"Raid","2493212"
"Gabby's Dollhouse","2491943"
"Yogi","2489232"
"ACTIVIA","2486255"
"Glico","2484369"
"Pepto-Bismol","2483929"
"Zephyrhills","2482878"
"Every Man Jack","2479419"
"Eclipse","2478321"
"The Original Donut Shop","2470953"
"Warner Bros.","2470621"
"Mini Babybel","2461991"
"Coleman","2460345"
"Wonderful","2456280"
"Nissin","2455452"
"Levi's","2451946"
"Swedish Fish","2446966"
"Pentel","2445885"
"Xbox","2439329"
"RXBAR","2438053"
"Premium","2437994"
"Trident","2435140"
"Green Giant","2428926.66"
"Lansinoh","2425206"
"Biotrue","2413003"
"Zevia","2410989"
"Club","2408025"
"Crystal Geyser","2407429"
"Hask","2397894"
"Zyrtec","2397038"
"Green Mountain","2381066"
"JLab","2379620"
"Tazo RTD","2376671"
"So Good So You","2375804"
"Ken's","2374716"
"Go-GURT","2365127"
"El Monterey","2360831"
"Slim Jim","2356045"
"Yasso","2353994"
"Rold Gold","2350169"
"Nickelodeon","2335590"
"Classico","2333996"
"Chester's","2327707"
"Skintimate","2323821"
"IZZE","2318915"
"Funyuns","2318563"
"Smart Chicken","2314545.8102"
"Pixi","2314382"
"Home Scents","2313152"
"Annie Chuns","2312839"
"Belgioioso","2312382"
"Morton","2305319"
"good culture","2302526"
"Jolly Rancher","2302105"
"Paper Magic","2295598"
"Ortega","2295288"
"Zone Perfect","2290513"
"One A Day","2289265"
"Jack's","2284616"
"Vanity Fair","2283187"
"American Scholar","2282932"
"MONDAY","2269410"
"Persil","2266374"
"DRIVEN by Battat","2263858"
"Wonder","2257361"
"Pyrex","2254830"
"Bigelow","2251928"
"Buddy Biscuits","2251289"
"Naturium","2251091"
"Plackers","2249644"
"Allerease","2247626"
"Minute Maid","2247377"
"Simply Perfect by Warner's","2237208"
"ASSETS by SPANX","2235362"
"Grove Co.","2232857"
"Neosporin","2227377"
"Suja","2224399"
"Bunch O Balloons","2224269"
"Dapple","2223179"
"SweeTARTS","2218945"
"Ring Pop","2197749"
"Real Techniques","2194537"
"Liquid Death","2193360"
"Frosted Mini-Wheats","2188320"
"Clearblue","2180986"
